央视频道,#genre#
浙江卫视,http://117.148.179.140:80/PLTV/88888888/224/3221229352/index.m3u8#rtsp://60.22.151.120:554/PLTV/88888888/224/3221226507/10000100000000060000000000356891_0.smil#http://111.40.196.25/PLTV/88888888/224/3221225523/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel19/2300.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226040/10000100000000060000000002296881_0.smil
福建卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel80/2300.m3u8#http://39.135.34.150:8080/000000001000/1000000002000009263/1.m3u8?xtkg#http://39.135.138.59:18890/TVOD/88888910/224/3221225657/index.m3u8
海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
厦门卫视,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221226996/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226124/10000100000000060000000002358105_0.smil
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225506/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226082/10000100000000060000000002296924_0.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8#http://117.148.179.172:80/PLTV/88888888/224/3221231729/index.m3u8
江苏卫视,rtsp://60.22.151.120:554/PLTV/88888888/224/3221226474/10000100000000060000000000133833_0.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8#http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel18/2300.m3u8#http://117.148.179.175:80/PLTV/88888888/224/3221231447/index.m3u8#rtsp://183.252.176.54/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil
江西卫视,http://111.40.196.30/PLTV/88888888/224/3221225560/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226687/42186801.smil#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel22/2300.m3u8#http://39.135.34.150:8080/000000001000/1000000001000013731/1.m3u8?xtkg
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel60/2300.m3u8
云南卫视,https://hwapi.yunshicloud.com/8xughf/e0bx15.m3u8
贵州卫视,http://ott.js.chinamobile.com:80/PLTV/4/224/3221228136/index.m3u8#rtsp://183.252.166.199:554/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil
四川卫视,rtsp://60.22.151.120:554/PLTV/88888888/224/3221226583/10000100000000060000000000623271_0.smil#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel31/2300.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226806/45949301.smil
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8
安徽卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel23/2300.m3u8#http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8#rtsp://60.22.151.120:554/PLTV/88888888/224/3221226535/10000100000000060000000000499232_0.smil#http://117.148.179.177:80/PLTV/88888888/224/3221230215/1.m3u8
山东卫视,rtsp://60.22.151.120:554/PLTV/88888888/224/3221226523/10000100000000060000000000425465_0.smil#http://111.40.196.36/PLTV/88888888/224/3221225545/index.m3u8#https://livealone302.iqilu.com/iqilu/sdtv.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226090/10000100000000060000000002296928_0.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8
山西卫视,http://liveflash.sxrtv.com:80/live/sxwshd.m3u8#http://player.521fanli.cn/1691/0/tide/tidem3u8.php?id=shanxihd
甘肃卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel57/2300.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/1.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8#rtsp://60.22.151.120:554/PLTV/88888888/224/3221226525/10000100000000060000000000425466_0.smil#http://117.148.179.141:80/PLTV/88888888/224/3221231891/1.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226089/10000100000000060000000002296927_0.smil#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel16/2300.m3u8
广西卫视,https://live-cdn.gxxw.com/tv/gxtvlive/index.m3u8#http://live.scuec.edu.cn:8080/hls/gxhd.m3u8
深圳卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel17/2300.m3u8#rtsp://60.22.151.120:554/PLTV/88888888/224/3221226472/10000100000000060000000000133821_0.smil#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225700/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801/1.m3u8
湖北卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225740/index.m3u8#http://111.40.196.27/PLTV/88888888/224/3221225654/index.m3u8#rtsp://60.22.151.120:554/PLTV/88888888/224/3221226514/10000100000000060000000000356892_0.smil#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000109&playtoken=ABCDEFGH&auth=noC#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226206/1.m3u8#http://117.148.179.142:80/PLTV/88888888/224/3221231888/index.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel21/2300.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226091/10000100000000060000000002296929_0.smil
河北卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel79/2300.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226111/10000100000000060000000002310153_0.smil#http://live2.plus.hebtv.com/hbwsx/hd/live.m3u8
河南卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226076/10000100000000060000000002296917_0.smil
辽宁卫视,rtsp://60.22.151.120:554/PLTV/88888888/224/3221226511/10000100000000060000000000394610_0.smil#http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel32/2300.m3u8#http://117.148.179.152:80/PLTV/88888888/224/3221231802/1.m3u8
吉林卫视,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000562&playtoken=ABCDEFGH&auth=noC#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226792/48616745.smil
黑龙江卫视,http://111.40.196.38/PLTV/88888888/224/3221225544/index.m3u8#http://117.148.179.141:80/PLTV/88888888/224/3221231967/1.m3u8#rtsp://60.22.151.120:554/PLTV/88888888/224/3221226465/10000100000000060000000000133826_0.smil#rtsp://183.252.166.199/PLTV/88888888/224/3221226087/10000100000000060000000002296926_0.smil
海南卫视,http://ott.js.chinamobile.com:80/PLTV/4/224/3221228139/index.m3u8#rtsp://183.252.166.199:554/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil#http://live.scuec.edu.cn:8080/hls/lyhd.m3u8
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/playlist.m3u8
宁夏卫视,http://39.134.93.229:6610/000000001000/nxweishi/1.m3u8?IASHttpSessionId=
陕西卫视,http://129.226.107.32:80/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
南方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226218/1.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226788/48356344.smil#http://39.135.34.150:8080/000000001000/1000000002000011619/1.m3u8?xtkg#http://183.207.248.71/gitv/live1/G_NANFANG/G_NANFANG
三沙卫视,http://pull2.ssws.tv/live/SswsTV20210803.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226819/57526516.smil

山东频道,#genre#
山东卫视,https://livealone302.iqilu.com/iqilu/sdtv00.m3u8
山东齐鲁,https://livealone302.iqilu.com/iqilu/qlpd00.m3u8
山东体育,https://livealone302.iqilu.com/iqilu/typd00.m3u8
山东生活,https://livealone302.iqilu.com/iqilu/shpd00.m3u8
山东综艺,https://livealone302.iqilu.com/iqilu/zypd00.m3u8
山东新闻,https://livealone302.iqilu.com/iqilu/ggpd00.m3u8
山东农科,https://livealone302.iqilu.com/iqilu/nkpd00.m3u8
山东文旅,https://livealone302.iqilu.com/iqilu/yspd00.m3u8
山东少儿,https://livealone302.iqilu.com/iqilu/sepd00.m3u8
山东教育,http://iptv.tvfix.org/hls/sdetv.m3u8
山东潍坊1,http://stream.wfcmw.cn/1/sd/live.m3u8#http://stream.wfcmw.cn/1/sd/live.m3u8?_upt=b1b7b4bb1577693205
山东潍坊2,http://stream.wfcmw.cn/2/sd/live.m3u8#http://stream.wfcmw.cn/2/sd/live.m3u8?_upt=eb90b9cd1577693284
山东潍坊3,http://stream.wfcmw.cn/3/sd/live.m3u8#http://stream.wfcmw.cn/3/sd/live.m3u8?_upt=f89392db1577693316
山东潍坊4,http://stream.wfcmw.cn/4/sd/live.m3u8#http://stream.wfcmw.cn/4/sd/live.m3u8?_upt=0e8b54001577693372
东营综合,http://stream.hhek.cn/xwzh/sd/live.m3u8
东营公共,http://stream.hhek.cn/ggpd/sd/live.m3u8
东营科教,http://stream.hhek.cn/dyjy/sd/live.m3u8
高密综合,https://livealone302.iqilu.com/gaomi/gaomi_tv01/playlist.m3u8
高密党建,https://livealone302.iqilu.com/gaomi/gaomi_tv02/playlist.m3u8
安丘新闻,https://jsylivealone302.iqilu.com/live/anqiu_tv01/index.m3u8
安丘民生,https://jsylivealone302.iqilu.com/live/anqiu_tv02/index.m3u8
诸城新闻,https://jsyaudiolive302.iqilu.com/live/zhucheng_tv00.m3u8
诸城生活,https://jsyaudiolive302.iqilu.com/live/zhucheng_tv02.m3u8
奎文电视,https://jsylivealone302.iqilu.com/live/kuiwen_tv01/index.m3u8
龙口综合,https://jsylivealone302.iqilu.com/live/longkou_tv01/index.m3u8#http://yslk.chinashadt.com:1635/live/stream:di1.stream_360p/playlist.m3u8#http://yslk.chinashadt.com:1635/live/stream:di1.stream/playlist.m3u8
龙口生活,https://jsylivealone302.iqilu.com/live/longkou_tv02/index.m3u8
福山综合,https://jsylivealone302.iqilu.com/live/fushan_tv01/index.m3u8
栖霞综合,https://jsylivealone302.iqilu.com/live/qixia_tv01/index.m3u8
蓬莱新闻,https://jsylivealone302.iqilu.com/live/penglai_tv00.m3u8
蓬莱综合,https://jsylivealone302.iqilu.com/live/penglai_tv02.m3u8
莱州综合,https://jsylivealone302.iqilu.com/live/laizhou_tv00.m3u8
文登一套,https://jsylivealone302.iqilu.com/live/wendeng_tv00.m3u8
文登二套,https://jsylivealone302.iqilu.com/live/wendeng_tv02.m3u8
乳山一套,https://jsylivealone302.iqilu.com/live/rushan_tv00.m3u8
乳山二套,https://jsylivealone302.iqilu.com/live/rushan_tv02.m3u8
即墨综合,https://jsylivealone302.iqilu.com/live/jimo_tv00.m3u8#https://jsylivealone302.iqilu.com/live/jimo_tv02.m3u8
李沧综合,http://live.lcqtv.com:88/live/lcqtv.m3u8
德州新闻,http://video.dztv.tv:1935/live/xwzh_bq/playlist.m3u8
德州公共,http://video.dztv.tv:1935/live/dzgg_bq/playlist.m3u8
德州图文,http://video.dztv.tv:1935/live/dztw_bq/playlist.m3u8#http://video.dztv.tv:1935/live/dztw_gq/playlist.m3u8
德州平原新闻,http://livealone302.iqilu.com/pingyuan/pingyuan_tv01/playlist.m3u8
德州武城新闻,https://jsylivealone302.iqilu.com/live/wucheng_tv01/index.m3u8
德州武城影视,https://jsylivealone302.iqilu.com/live/wucheng_tv02/index.m3u8
德州夏津综合,https://jsylivealone302.iqilu.com/live/xiajin_tv01/index.m3u8
德州夏津公共,https://jsylivealone302.iqilu.com/live/xiajin_tv02/index.m3u8
临淄新闻,https://jsylivealone302.iqilu.com/live/linzi_tv00.m3u8
临淄二套,https://jsylivealone302.iqilu.com/live/linzi_tv02.m3u8
菏泽成武综合,https://jsylivealone302.iqilu.com/live/chengwu_tv00.m3u8
菏泽成武综艺,https://jsylivealone302.iqilu.com/live/chengwu_tv02.m3u8
东菏泽东明综合,https://jsylivealone302.iqilu.com/live/dongming_tv00.m3u8
菏泽曹县综合,https://jsylivealone302.iqilu.com/live/caoxian_tv01/index.m3u8
菏泽定陶一套,https://jsylivealone302.iqilu.com/live/dingtao_tv01/index.m3u8
菏泽定陶二套,https://jsylivealone302.iqilu.com/live/dingtao_tv02/index.m3u8
惠民综合,https://jsylivealone302.iqilu.com/live/huimin_tv01/index.m3u8
惠民影视,https://jsylivealone302.iqilu.com/live/huimin_tv02/index.m3u8
茌平综合,https://jsylivealone302.iqilu.com/live/chiping_tv00.m3u8
茌平生活,https://jsylivealone302.iqilu.com/live/chiping_tv02.m3u8
临清电视台,http://livealone302.iqilu.com/linqing/linqing_tv01/playlist.m3u8
临清信息,https://jsylivealone302.iqilu.com/live/linqing_tv02/index.m3u8
泰安宁阳一套,https://jsylivealone302.iqilu.com/live/ningyang_tv01/index.m3u8
泰安宁阳二套,https://jsylivealone302.iqilu.com/live/ningyang_tv02/index.m3u8
泰安岱岳综合,http://222.132.191.115:8083/videos/live/10/33/3hQrd4b1jKuEk/3hQrd4b1jKuEk.M3U8
日照莒县一套,http://61.162.225.122:8181/live/test1.m3u8
日照莒县二套,http://61.162.225.122:8181/live/test2.m3u8
费县综合,https://jsylivealone302.iqilu.com/live/feixian_tv01/index.m3u8
费县生活,https://jsylivealone302.iqilu.com/live/feixian_tv02/index.m3u8
河东综合,https://jsylivealone302.iqilu.com/live/hedong_tv02/index.m3u8
临沭一套,https://jsylivealone302.iqilu.com/live/linshu_tv01/index.m3u8
兰陵综合,https://jsylivealone302.iqilu.com/live/lanling_tv00.m3u8
兰陵公共,https://jsylivealone302.iqilu.com/live/lanling_tv02.m3u8
罗庄一套,https://jsylivealone302.iqilu.com/live/luozhuang_tv00.m3u8
沂南综合,https://jsylivealone302.iqilu.com/live/yinan_tv01/index.m3u8
沂南旅游,https://jsylivealone302.iqilu.com/live/yinan_tv02/index.m3u8
沂水综合,https://jsylivealone302.iqilu.com/live/yishui_tv01/index.m3u8
沂水二套,https://jsylivealone302.iqilu.com/live/yishui_tv02/index.m3u8
郯城综合,https://jsylivealone302.iqilu.com/live/tancheng_tv01/index.m3u8
郯城二套,https://jsylivealone302.iqilu.com/live/tancheng_tv02/index.m3u8
枣庄新闻,http://stream.zzgd.tv/1/sd/live.m3u8
枣庄教育,http://stream.zzgd.tv/2/sd/live.m3u8
枣庄公共,http://stream.zzgd.tv/3/sd/live.m3u8
长清新闻,https://jsylivealone302.iqilu.com/live/changqing_tv00.m3u8
长清生活,https://jsylivealone302.iqilu.com/live/changqing_tv02.m3u8
商河综合,https://jsylivealone302.iqilu.com/live/shanghe_tv00.m3u8
商河影视,https://jsylivealone302.iqilu.com/live/shanghe_tv02.m3u8
沂源新闻,https://jsylivealone302.iqilu.com/live/yiyuan_tv01/index.m3u8
沂源生活,https://jsylivealone302.iqilu.com/live/yiyuan_tv02/index.m3u8
陵城新闻,https://jsylivealone302.iqilu.com/live/lingcheng_tv01/index.m3u8
微山一套,https://jsylivealone302.iqilu.com/live/weishan_tv02.m3u8
微山二套,https://jsylivealone302.iqilu.com/live/weishan_tv00.m3u8
梁山综合,http://sdls.chinashadt.com:2036/live/2.stream/chunklist_w1944659830.m3u8
寒亭新闻,https://jsylivealone302.iqilu.com/live/hanting_tv01/index.m3u8
青州新闻,http://sdqz.chinashadt.com:2036/live/stream:1.stream_360p/playlist.m3u8#http://sdqz.chinashadt.com:2036/live/stream:1.stream/playlist.m3u8
青州文旅,http://sdqz.chinashadt.com:2036/live/stream:3.stream_360p/playlist.m3u8#http://sdqz.chinashadt.com:2036/live/stream:3.stream/playlist.m3u8
鄄城综艺,https://jsylivealone302.iqilu.com/live/juancheng_tv02/index.m3u8
单县综合,https://jsylivealone302.iqilu.com/live/shanxian_tv01/index.m3u8
利津综合,http://sdlj.chinashadt.com:2036/live/lijin.stream/chunklist_w231562167.m3u8
利津文化,http://sdlj.chinashadt.com:2036/live/shenghuo.stream/chunklist_w1506535972.m3u8
龙口党建,http://yslk.chinashadt.com:1635/live/stream:di2.stream_360p/playlist.m3u8#http://yslk.chinashadt.com:1635/live/stream:di2.stream/playlist.m3u8
新泰综合,http://live.xtgdw.cn:1935/live/xtzh/playlist.m3u8
新泰乡村,http://live.xtgdw.cn:1935/live/xtxc/playlist.m3u8
滕州综合,https://jsylivealone302.iqilu.com/live/tengzhou_tv01/index.m3u8
滕州民生,https://jsylivealone302.iqilu.com/live/tengzhou_tv02/index.m3u8
台儿庄一,https://jsylivealone302.iqilu.com/live/taierzhuang_tv01/index.m3u8
潍坊新闻,http://stream.wfcmw.cn/1/sd/live.m3u8?_upt=9148f0a51578381735
潍坊生活,http://stream.wfcmw.cn/2/sd/live.m3u8?_upt=5573adc41578381768
潍坊公共,http://stream.wfcmw.cn/3/sd/live.m3u8?_upt=501689e01578381799
潍坊科教,http://stream.wfcmw.cn/4/sd/live.m3u8?_upt=d0311afc1578381834
德州都市,http://video.dztv.tv:1935/live/dspd_gq/playlist.m3u8
菏泽新闻,http://live.hznet.tv:1935/live/live1/500K/tzwj_video.m3u8
菏泽生活,http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
滨州新闻,http://stream.bzcm.net/2/sd/live.m3u8
滨州公共,http://stream.bzcm.net/1/sd/live.m3u8
茌平综合,https://jsylivealone302.iqilu.com/live/chiping_tv01/index.m3u8
茌平生活,https://jsylivealone302.iqilu.com/live/chiping_tv02/index.m3u8
日照新闻,http://stream.rzw.com.cn/xwzh/playlist.m3u8?_upt=810375db1578376424
日照科教,http://stream.rzw.com.cn/ggpd/playlist.m3u8?_upt=371268ca1578376455
日照公共,http://stream.rzw.com.cn/kzpd/playlist.m3u8?_upt=a0aefca11578376489
日照图文,http://stream.rzw.com.cn/fcpd/playlist.m3u8?_upt=3621b8921578376513
临沂公共,http://live.ilinyi.net/channels/tvie/linyigonggong/flv:500k/live?1578369461917
临沂农科,http://live.ilinyi.net/channels/tvie/linyicaijing/flv:500k/live?1578369498012
枣庄新闻,http://stream.zzgd.tv/1/playlist.m3u8
枣庄公共,http://stream.zzgd.tv/3/playlist.m3u8

少儿频道,#genre#
金鹰卡通 ,http://140.207.241.2:8080/live/program/live/jykt/1300000/mnf.m3u8
嘉佳卡通 ,http://140.207.241.2:8080/live/program/live/jjkt/1300000/mnf.m3u8
CCTV新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2_hd.m3u8
新动漫,http://cloudplay.tk/api/as.php?id=xdm
优漫卡通,http://cloudplay.tk/api/js.php?id=ymkt
云南少儿,http://tvlive.ynradio.com/live/yunnanshaoer/playlist_dvr_range-1641288120-10740.m3u8
哈哈炫动,http://iptv.tvfix.org/hls/hhxdhd.m3u8
甘肃少儿,https://hls.gstv.com.cn/49048r/922k96.m3u8
深圳少儿,http://cloudplay.tk/api/ysz.php?id=szse
南京少儿,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
杭州少儿,http://live.hoolo.tv/hztv5/sd/live.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
武汉少儿,http://stream.appwuhan.com/7tzb/sd/live.m3u8
福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
郑州妇女儿童,http://cloudplay.tk/api/zztv.php?id=zzfnet
蜡笔小新,http://cloudplay.tk/api/bili.php?id=10375360
哆啦A梦,http://cloudplay.tk/api/bili.php?id=1717236
机器猫,http://cloudplay.tk/api/bili.php?id=22987700
大力水手,http://cloudplay.tk/api/douyu.php?id=7620081
海绵宝宝,http://cloudplay.tk/api/douyu.php?id=7528160
加菲猫,http://cloudplay.tk/api/bili.php?id=906034

数字网络,#genre#
CGTN国际频道,http://live.cgtn.com/1000/prog_index.m3u8
CGTN记录频道,http://180.97.123.180/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel14/index.m3u8#http://39.130.202.77:6610/gitv_live/G_CGTVJL-HD/G_CGTVJL-HD.m3u8#https://livedoc.cgtn.com/1000d/prog_index.m3u8
CCTV世界地理,http://42.176.185.28:9901/tsfile/live/1037_1.m3u8
CCTV怀旧剧场,rtsp://60.22.151.120:554/PLTV/460033/224/0/3221225935/000000000ac6.smil
CCTV第一剧场,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000569&playtoken=ABCDEFGH&auth=noC
CCTV风云剧场,http://42.176.185.28:9901/tsfile/live/1030_1.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000570&playtoken=ABCDEFGH&auth=noC
CCTV风云足球,rtsp://60.22.151.120:554/PLTV/460033/224/0/3221225821/0000000008oc.smil
CCTV高夫网球,http://ott.js.chinamobile.com/TVOD/3/224/3221228138/index.m3u8
CCTV兵器科技,rtsp://60.22.151.120:554/PLTV/460033/224/0/3221226037/3221225922.smil
CETV教育一台,http://39.135.140.227:6610/PLTV/88888888/224/3221225917/2/index.m3u8?fmt=ts2hls#http://live.scuec.edu.cn:8080/hls/cetv1hd.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231714/index.m3u8#http://180.97.123.180/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel33/index.m3u8
环球旅游,http://117.148.179.154/PLTV/88888888/224/3221231712/index.m3u8
中华美食,http://39.135.138.58:18890/PLTV/88888888/224/3221225924/index.m3u8#http://183.207.248.71/gitv/live1/G_ZHONGHUAMS/G_ZHONGHUAMS#http://ott.js.chinamobile.com/PLTV/4/224/3221227647/index.m3u8
中国陶瓷,http://ott.js.chinamobile.com/PLTV/4/224/3221227768/index.m3u8#http://183.207.248.71/gitv/live1/G_TAOCI/G_TAOCI
CEC国际汉语,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
CEC国际旅游,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
CEC国际频道,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8

影视乐园,#genre#
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43063/2300.m3u8
CHC动作电影,http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
DOX音像世界,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000126&playtoken=ABCDEFGH&auth=noC
成龙电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/707671890#http://117.148.179.163/PLTV/88888888/224/3221231687/index.m3u8
